Advertiser,Advertiser Name,Region,Region Name,Imps,Clicks,"CTR, %",Conversions,User Purchase,Actual Adv Payout
182,ZIPRECRUITER-MDG-TRADR,US-WA,Washington,8412,3,0.04,3088,0,174.341
345,NORTHERNLIGHTSHEALTH-KARSHHAGAN,US-ME,Maine,8413,338,4.02,104,0,147.405
351,PINNACLEBANK&BOC-KARSHHAGAN,US-WY,Wyoming,8413,7,0.08,18,0,81.432
358,VISITDENVER,US-NY,New York,8415,33,0.39,45,0,67.974
358,VISITDENVER,US-OH,Ohio,8419,37,0.44,57,0,53.976
182,ZIPRECRUITER-MDG-TRADR,US-CO,Colorado,8420,1,0.01,304,0,176.529
359,THEGREAT,US-TX,Texas,8421,422,5.01,2,752.35,74.468
358,VISITDENVER,US-NJ,New Jersey,8424,10,0.12,30,0,66.596
381,MODERNTREASURY-MDG-TRADR,US-NE,Nebraska,8429,185,2.19,115,0,133.466
358,VISITDENVER,US-PA,Pennsylvania,8429,42,0.5,49,0,73.932
358,VISITDENVER,US-GA,Georgia,8430,21,0.25,31,0,61.888
364,SCOOTER-KARSHHAGAN,US-IA,Iowa,8431,77,0.91,55,0,142.774
356,STARFACE-MDG-TRADR,US-KY,Kentucky,8434,42,0.5,53,0,217.571
252,SMARTBIZ-MDG-TRADR,US-IN,Indiana,8438,19,0.23,21,0,233.516
174,POSITEC-WORX-TRADR,US-NY,New York,8438,82,0.98,98,0,42.168
174,POSITEC-WORX-TRADR,US-CA,California,8444,72,0.85,215,0,57.901
358,VISITDENVER,US-MA,Massachusetts,8445,35,0.41,85,0,44.267
382,FILSON,US-WY,Wyoming,8445,171,2.03,112,289.71,170.832
358,VISITDENVER,US-GA,Georgia,8449,24,0.28,32,0,42.6
182,ZIPRECRUITER-MDG-TRADR,US-FL,Florida,8451,0,0,257,0,178.461
358,VISITDENVER,US-NJ,New Jersey,8455,20,0.24,30,0,45.952
174,POSITEC-WORX-TRADR,US-OK,Oklahoma,8461,190,2.25,170,1422.86,44.885
358,VISITDENVER,US-NV,Nevada,8465,40,0.47,82,0,55.139
49,FJALLRAVEN,CA-ON,Ontario,8465,793,9.37,544,5992.11,149.213
358,VISITDENVER,US-MA,Massachusetts,8467,42,0.5,72,0,36.68
174,POSITEC-WORX-TRADR,US-MO,Missouri,8472,270,3.19,156,262.51,67.772
325,STAUD,US-NY,New York,8476,1104,13.03,421,1359.93,154.987
358,VISITDENVER,US-TX,Texas,8478,28,0.33,54,0,77.783
382,FILSON,US-FL,Florida,8480,746,8.8,199,1410,169.923
358,VISITDENVER,US-IL,Illinois,8480,31,0.37,58,0,79.614
358,VISITDENVER,US-WI,Wisconsin,8480,31,0.37,65,0,43.062
382,FILSON,US-SC,South Carolina,8484,309,3.64,78,330,192.401
358,VISITDENVER,US-FL,Florida,8485,54,0.64,92,0,79.438
182,ZIPRECRUITER-MDG-TRADR,US-GA,Georgia,8487,0,0,494,0,178.677
358,VISITDENVER,US-OH,Ohio,8488,33,0.39,73,0,67.328
358,VISITDENVER,US-CA,California,8489,31,0.37,40,0,60.41
358,VISITDENVER,US-PA,Pennsylvania,8490,37,0.44,67,0,61.786
49,FJALLRAVEN,US-CO,Colorado,8491,119,1.4,67,295.94,70.51
358,VISITDENVER,US-MD,Maryland,8491,20,0.24,47,0,38.474
358,VISITDENVER,US-GA,Georgia,8495,46,0.54,67,0,55.553
358,VISITDENVER,US-PA,Pennsylvania,8506,47,0.55,76,0,56.686
382,FILSON,US-CA,California,8507,274,3.22,95,680.25,187.03
252,SMARTBIZ-MDG-TRADR,US-FL,Florida,8508,31,0.36,54,0,221.461
358,VISITDENVER,US-NC,North Carolina,8509,32,0.38,66,0,64.886
252,SMARTBIZ-MDG-TRADR,US-VA,Virginia,8513,38,0.45,72,0,223.106
351,PINNACLEBANK&BOC-KARSHHAGAN,US-NE,Nebraska,8514,32,0.37,40,0,110.543
298,ANON,US-WA,Washington,8515,30,0.35,66,3867.05,89.533
351,PINNACLEBANK&BOC-KARSHHAGAN,US-CO,Colorado,8518,36,0.43,79,0,134.138
182,ZIPRECRUITER-MDG-TRADR,US-FL,Florida,8518,0,0,238,0,180.763
382,FILSON,US-KY,Kentucky,8519,456,5.35,134,645,208.275
345,NORTHERNLIGHTSHEALTH-KARSHHAGAN,US-NH,New Hampshire,8519,126,1.48,30,0,104.275
358,VISITDENVER,US-ME,Maine,8521,21,0.25,36,0,70.096
358,VISITDENVER,US-SC,South Carolina,8526,33,0.39,72,0,52.901
358,VISITDENVER,US-FL,Florida,8527,57,0.67,98,0,59.36
358,VISITDENVER,US-LA,Louisiana,8536,40,0.47,83,0,65.081
358,VISITDENVER,US-OR,Oregon,8537,22,0.26,46,0,47.08
364,SCOOTER-KARSHHAGAN,US-IA,Iowa,8539,67,0.78,84,0,131.926
358,VISITDENVER,US-CA,California,8542,36,0.42,52,0,46.899
358,VISITDENVER,US-KS,Kansas,8552,27,0.32,30,0,44.315
358,VISITDENVER,US-KY,Kentucky,8554,35,0.41,50,0,74.084
358,VISITDENVER,US-NJ,New Jersey,8555,20,0.23,35,0,77.875
358,VISITDENVER,US-OH,Ohio,8570,32,0.37,61,0,32.359
358,VISITDENVER,US-PA,Pennsylvania,8571,27,0.32,61,0,56.488
358,VISITDENVER,US-IL,Illinois,8573,24,0.28,53,0,27.604
49,FJALLRAVEN,US-VA,Virginia,8574,382,4.46,220,1118.74,91.774
358,VISITDENVER,US-CA,California,8575,43,0.5,62,0,45.524
174,POSITEC-WORX-TRADR,US-NE,Nebraska,8577,39,0.45,71,0,33.045
381,MODERNTREASURY-MDG-TRADR,US-NC,North Carolina,8581,64,0.75,71,0,213.741
358,VISITDENVER,US-CT,Connecticut,8584,34,0.4,61,0,66.876
382,FILSON,US-LA,Louisiana,8585,376,4.38,108,2003.08,190.747
174,POSITEC-WORX-TRADR,US-VA,Virginia,8587,406,4.73,227,1389.11,64.244
358,VISITDENVER,US-MD,Maryland,8589,44,0.51,76,0,52.201
182,ZIPRECRUITER-MDG-TRADR,US-WA,Washington,8589,1,0.01,259,0,182.292
358,VISITDENVER,US-MO,Missouri,8592,54,0.63,77,0,40.366
358,VISITDENVER,US-OH,Ohio,8600,35,0.41,74,0,69.471
381,MODERNTREASURY-MDG-TRADR,US-DC,District of Columbia,8603,142,1.65,125,0,140.141
358,VISITDENVER,US-IN,Indiana,8603,30,0.35,47,0,56.467
274,BOBOS,US-KS,Kansas,8604,90,1.04,88,314.21,61.404
358,VISITDENVER,US-TN,Tennessee,8607,60,0.7,108,0,70.392
358,VISITDENVER,US-OH,Ohio,8608,35,0.41,33,0,52.764
358,VISITDENVER,US-NY,New York,8610,25,0.29,50,0,59.34
358,VISITDENVER,US-MI,Michigan,8611,26,0.3,53,0,43.392
381,MODERNTREASURY-MDG-TRADR,US-NJ,New Jersey,8614,94,1.09,98,0,169.635
358,VISITDENVER,US-IL,Illinois,8615,27,0.31,40,0,65.175
358,VISITDENVER,US-CA,California,8616,29,0.34,37,0,45.851
182,ZIPRECRUITER-MDG-TRADR,US-LA,Louisiana,8616,0,0,170,0,180.109
388,CAT CANADA,CA-ON,Ontario,8616,40,0.46,29,0,66.491
358,VISITDENVER,US-CT,Connecticut,8622,36,0.42,63,0,49.793
49,FJALLRAVEN,US-VA,Virginia,8624,607,7.04,216,2270.41,78.902
358,VISITDENVER,US-KS,Kansas,8625,39,0.45,32,0,46.61
381,MODERNTREASURY-MDG-TRADR,US-FL,Florida,8626,95,1.1,80,0,193.615
358,VISITDENVER,US-HI,Hawaii,8629,16,0.19,31,0,56.368
358,VISITDENVER,US-PA,Pennsylvania,8631,38,0.44,58,0,71.478
