Advertiser,Advertiser Name,Region,Region Name,Imps,Clicks
174,POSITEC-WORX-TRADR,US-MI,Michigan,5983,223
358,VISITDENVER,US-IN,Indiana,5987,26
274,BOBOS,US-MD,Maryland,5987,76
349,WINE ENTHUSIAST,US-FL,Florida,5989,14
174,POSITEC-WORX-TRADR,US-OH,Ohio,5989,718
252,SMARTBIZ-MDG-TRADR,US-FL,Florida,5992,27
358,VISITDENVER,US-SC,South Carolina,5992,34
174,POSITEC-WORX-TRADR,US-PA,Pennsylvania,5994,112
351,PINNACLEBANK&BOC-KARSHHAGAN,US-WY,Wyoming,5994,8
182,ZIPRECRUITER-MDG-TRADR,US-CA,California,5996,0
358,VISITDENVER,US-ME,Maine,5997,21
182,ZIPRECRUITER-MDG-TRADR,US-AR,Arkansas,5998,0
358,VISITDENVER,US-CT,Connecticut,5998,37
49,FJALLRAVEN,CA-AB,Alberta,6000,423
295,BENCHMADE,US-CO,Colorado,6000,9
358,VISITDENVER,US-MI,Michigan,6000,36
351,PINNACLEBANK&BOC-KARSHHAGAN,US-WY,Wyoming,6001,5
274,BOBOS,US-ME,Maine,6003,34
382,FILSON,US-NY,New York,6003,332
174,POSITEC-WORX-TRADR,US-SC,South Carolina,6003,182
381,MODERNTREASURY-MDG-TRADR,US-FL,Florida,6005,32
274,BOBOS,US-CA,California,6006,67
182,ZIPRECRUITER-MDG-TRADR,US-MA,Massachusetts,6013,1
358,VISITDENVER,US-CO,Colorado,6014,19
49,FJALLRAVEN,US-KS,Kansas,6015,154
358,VISITDENVER,US-MA,Massachusetts,6017,5
358,VISITDENVER,US-MI,Michigan,6017,21
358,VISITDENVER,US-IL,Illinois,6018,17
